,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes,Region,Date
0,29.0,57,18,0.0,65.7,3.4,7.6,1.3,3.4,0.5,0.0,1,2012-06-01
1,29.0,61,13,1.3,64.4,4.1,7.6,1.0,3.9,0.4,0.0,1,2012-06-02
2,26.0,82,22,13.1,47.1,2.5,7.1,0.3,2.7,0.1,0.0,1,2012-06-03
3,25.0,89,13,2.5,28.6,1.3,6.9,0.0,1.7,0.0,0.0,1,2012-06-04
4,27.0,77,16,0.0,64.8,3.0,14.2,1.2,3.9,0.5,0.0,1,2012-06-05
5,31.0,67,14,0.0,82.6,5.8,22.2,3.1,7.0,2.5,1.0,1,2012-06-06
6,33.0,54,13,0.0,88.2,9.9,30.5,6.4,10.9,7.2,1.0,1,2012-06-07
7,30.0,73,15,0.0,86.6,12.1,38.3,5.6,13.5,7.1,1.0,1,2012-06-08
8,25.0,88,13,0.2,52.9,7.9,38.8,0.4,10.5,0.3,0.0,1,2012-06-09
9,28.0,79,12,0.0,73.2,9.5,46.3,1.3,12.6,0.9,0.0,1,2012-06-10
10,31.0,65,14,0.0,84.5,12.5,54.3,4.0,15.8,5.6,1.0,1,2012-06-11
11,26.0,81,19,0.0,84.0,13.8,61.4,4.8,17.7,7.1,1.0,1,2012-06-12
12,27.0,84,21,1.2,50.0,6.7,17.0,0.5,6.7,0.2,0.0,1,2012-06-13
13,30.0,78,20,0.5,59.0,4.6,7.8,1.0,4.4,0.4,0.0,1,2012-06-14
14,28.0,80,17,3.1,49.4,3.0,7.4,0.4,3.0,0.1,0.0,1,2012-06-15
15,29.0,89,13,0.7,36.1,1.7,7.6,0.0,2.2,0.0,0.0,1,2012-06-16
16,30.0,89,16,0.6,37.3,1.1,7.8,0.0,1.6,0.0,0.0,1,2012-06-17
17,31.0,78,14,0.3,56.9,1.9,8.0,0.7,2.4,0.2,0.0,1,2012-06-18
18,31.0,55,16,0.1,79.9,4.5,16.0,2.5,5.3,1.4,0.0,1,2012-06-19
19,30.0,80,16,0.4,59.8,3.4,27.1,0.9,5.1,0.4,0.0,1,2012-06-20
20,30.0,78,14,0.0,81.0,6.3,31.6,2.6,8.4,2.2,1.0,1,2012-06-21
21,31.0,67,17,0.1,79.1,7.0,39.5,2.4,9.7,2.3,0.0,1,2012-06-22
22,32.0,62,18,0.1,81.4,8.2,47.7,3.3,11.5,3.8,1.0,1,2012-06-23
23,32.0,66,17,0.0,85.9,11.2,55.8,5.6,14.9,7.5,1.0,1,2012-06-24
24,31.0,64,15,0.0,86.7,14.2,63.8,5.7,18.3,8.4,1.0,1,2012-06-25
25,31.0,64,18,0.0,86.8,17.8,71.8,6.7,21.6,10.6,1.0,1,2012-06-26
26,34.0,53,18,0.0,89.0,21.6,80.3,9.2,25.8,15.0,1.0,1,2012-06-27
27,32.0,55,14,0.0,89.1,25.5,88.5,7.6,29.7,13.9,1.0,1,2012-06-28
28,32.0,47,13,0.3,79.9,18.4,84.4,2.2,23.8,3.9,0.0,1,2012-06-29
29,33.0,50,14,0.0,88.7,22.9,92.8,7.2,28.3,12.9,1.0,1,2012-06-30
30,29.0,68,19,1.0,59.9,2.5,8.6,1.1,2.9,0.4,0.0,1,2012-07-01
31,27.0,75,19,1.2,55.7,2.4,8.3,0.8,2.8,0.3,0.0,1,2012-07-02
32,32.0,76,20,0.7,63.1,2.6,9.2,1.3,3.0,0.5,0.0,1,2012-07-03
33,33.0,78,17,0.0,80.1,4.6,18.5,2.7,5.7,1.7,0.0,1,2012-07-04
34,33.0,66,14,0.0,85.9,7.6,27.9,4.8,9.1,4.9,1.0,1,2012-07-05
35,32.0,63,14,0.0,87.0,10.9,37.0,5.6,12.5,6.8,1.0,1,2012-07-06
36,35.0,64,18,0.2,80.0,9.7,40.4,2.8,12.1,3.2,0.0,1,2012-07-07
37,33.0,68,19,0.0,85.6,12.5,49.8,6.0,15.4,8.0,1.0,1,2012-07-08
38,32.0,68,14,1.4,66.6,7.7,9.2,1.1,7.4,0.6,0.0,1,2012-07-09
39,33.0,69,13,0.7,66.6,6.0,9.3,1.1,5.8,0.5,0.0,1,2012-07-10
40,33.0,76,14,0.0,81.1,8.1,18.7,2.6,8.1,2.2,0.0,1,2012-07-11
41,31.0,75,13,0.1,75.1,7.9,27.7,1.5,9.2,0.9,0.0,1,2012-07-12
42,34.0,81,15,0.0,81.8,9.7,37.2,3.0,11.7,3.4,0.0,1,2012-07-13
