,day,month,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes,Region
0,1,6,29.0,57,18,0.0,65.7,3.4,7.6,1.3,3.4,0.5,0,1
1,2,6,29.0,61,13,1.3,64.4,4.1,7.6,1.0,3.9,0.4,0,1
2,3,6,26.0,82,22,13.1,47.1,2.5,7.1,0.3,2.7,0.1,0,1
3,4,6,25.0,89,13,2.5,28.6,1.3,6.9,0.0,1.7,0.0,0,1
4,5,6,27.0,77,16,0.0,64.8,3.0,14.2,1.2,3.9,0.5,0,1
5,6,6,31.0,67,14,0.0,82.6,5.8,22.2,3.1,7.0,2.5,1,1
6,7,6,33.0,54,13,0.0,88.2,9.9,30.5,6.4,10.9,7.2,1,1
7,8,6,30.0,73,15,0.0,86.6,12.1,38.3,5.6,13.5,7.1,1,1
8,9,6,25.0,88,13,0.2,52.9,7.9,38.8,0.4,10.5,0.3,0,1
9,10,6,28.0,79,12,0.0,73.2,9.5,46.3,1.3,12.6,0.9,0,1
10,11,6,31.0,65,14,0.0,84.5,12.5,54.3,4.0,15.8,5.6,1,1
11,12,6,26.0,81,19,0.0,84.0,13.8,61.4,4.8,17.7,7.1,1,1
12,13,6,27.0,84,21,1.2,50.0,6.7,17.0,0.5,6.7,0.2,0,1
13,14,6,30.0,78,20,0.5,59.0,4.6,7.8,1.0,4.4,0.4,0,1
14,15,6,28.0,80,17,3.1,49.4,3.0,7.4,0.4,3.0,0.1,0,1
15,16,6,29.0,89,13,0.7,36.1,1.7,7.6,0.0,2.2,0.0,0,1
16,17,6,30.0,89,16,0.6,37.3,1.1,7.8,0.0,1.6,0.0,0,1
17,18,6,31.0,78,14,0.3,56.9,1.9,8.0,0.7,2.4,0.2,0,1
18,19,6,31.0,55,16,0.1,79.9,4.5,16.0,2.5,5.3,1.4,0,1
19,20,6,30.0,80,16,0.4,59.8,3.4,27.1,0.9,5.1,0.4,0,1
20,21,6,30.0,78,14,0.0,81.0,6.3,31.6,2.6,8.4,2.2,1,1
21,22,6,31.0,67,17,0.1,79.1,7.0,39.5,2.4,9.7,2.3,0,1
