iter	Passed	Remaining
0	7	7916
1	15	7904
2	24	7994
3	32	8002
4	40	8010
5	48	8027
6	56	7984
7	64	7993
8	72	8002
9	80	8000
10	88	7989
11	97	8004
12	105	7993
13	113	7997
14	121	7983
15	130	7997
16	142	8232
17	151	8241
18	160	8273
19	169	8315
20	178	8310
21	187	8343
22	196	8333
23	204	8320
24	213	8310
25	221	8284
26	229	8270
27	237	8253
28	246	8269
29	255	8260
30	263	8241
31	271	8218
32	279	8203
33	287	8179
34	296	8176
35	304	8156
36	312	8136
37	320	8119
38	328	8099
39	336	8084
40	345	8085
41	353	8068
42	361	8053
43	371	8060
44	379	8046
45	387	8031
46	395	8016
47	403	8001
48	411	7989
49	419	7979
50	428	7969
51	436	7955
52	447	7989
53	455	7974
54	464	7974
55	472	7958
56	480	7955
57	488	7936
58	496	7923
59	506	7927
60	514	7917
61	522	7905
62	530	7896
63	538	7881
64	555	7987
65	563	7972
66	571	7963
67	580	7956
68	588	7942
69	596	7926
70	604	7911
71	612	7896
72	620	7884
73	628	7869
74	636	7853
75	645	7842
76	653	7830
77	661	7814
78	670	7813
79	674	7753
80	684	7762
81	692	7750
82	700	7739
83	709	7732
84	717	7720
85	725	7712
86	735	7716
87	743	7707
88	751	7695
89	759	7682
90	767	7666
91	777	7671
92	785	7659
93	793	7652
94	802	7645
95	810	7632
96	818	7622
97	827	7613
98	835	7604
99	843	7595
100	851	7582
101	859	7570
102	868	7561
103	876	7549
104	884	7538
105	892	7527
106	900	7514
107	908	7501
108	916	7490
109	924	7482
110	932	7471
111	941	7461
112	949	7449
113	957	7439
114	965	7428
115	973	7415
116	981	7404
117	989	7398
118	997	7388
119	1006	7378
120	1014	7370
121	1022	7356
122	1030	7345
123	1032	7296
124	1042	7300
125	1051	7290
126	1059	7280
127	1066	7268
128	1075	7259
129	1083	7251
130	1091	7240
131	1099	7227
132	1106	7215
133	1114	7205
134	1123	7197
135	1131	7188
136	1139	7177
137	1151	7192
138	1161	7193
139	1170	7187
140	1179	7182
141	1189	7187
142	1197	7178
143	1206	7169
144	1214	7160
145	1222	7151
146	1230	7138
147	1238	7128
148	1246	7118
149	1254	7108
150	1262	7097
151	1270	7089
152	1278	7080
153	1290	7091
154	1339	7303
155	1358	7350
156	1367	7340
157	1380	7356
158	1393	7371
159	1407	7391
160	1416	7380
161	1428	7388
162	1442	7404
163	1450	7393
164	1462	7401
165	1476	7417
166	1489	7428
167	1495	7406
168	1509	7420
169	1521	7428
170	1531	7423
171	1540	7417
172	1549	7405
173	1557	7392
174	1565	7380
175	1573	7368
176	1582	7359
177	1590	7347
178	1599	7334
179	1606	7320
180	1617	7316
181	1633	7340
182	1642	7334
183	1654	7338
184	1659	7308
185	1670	7309
186	1680	7305
187	1690	7301
188	1699	7292
189	1709	7287
190	1724	7303
191	1739	7320
192	1756	7343
193	1768	7349
194	1780	7349
195	1792	7352
196	1802	7347
197	1813	7346
198	1822	7336
199	1833	7333
200	1842	7324
201	1852	7318
202	1861	7310
203	1871	7301
204	1874	7269
205	1883	7258
206	1891	7245
207	1899	7233
208	1907	7219
209	1916	7208
210	1929	7216
211	1938	7203
212	1946	7190
213	1954	7176
214	1962	7163
215	1971	7154
216	1980	7147
217	1989	7136
218	1998	7127
219	2007	7118
220	2016	7109
221	2028	7107
222	2036	7097
223	2045	7086
224	2053	7073
225	2063	7066
226	2075	7066
227	2085	7061
228	2096	7058
229	2103	7041
230	2113	7036
231	2125	7035
232	2135	7030
233	2149	7035
234	2158	7027
235	2169	7022
236	2180	7021
237	2190	7013
238	2201	7009
239	2212	7004
240	2221	6997
241	2230	6987
242	2240	6978
243	2250	6973
244	2261	6970
245	2270	6959
246	2281	6956
247	2292	6951
248	2302	6943
249	2314	6944
250	2329	6951
251	2343	6955
252	2352	6947
253	2366	6949
254	2380	6954
255	2393	6956
256	2405	6954
257	2416	6949
258	2429	6951
259	2441	6949
260	2451	6941
261	2464	6941
262	2477	6943
263	2489	6940
264	2499	6931
265	2512	6933
266	2527	6939
267	2539	6937
268	2549	6927
269	2562	6928
270	2576	6931
271	2589	6929
272	2597	6918
273	2610	6918
274	2625	6921
275	2633	6909
276	2643	6898
277	2651	6886
278	2662	6879
279	2672	6871
280	2681	6860
281	2689	6848
282	2698	6836
283	2709	6831
284	2720	6824
285	2728	6812
286	2737	6801
287	2745	6788
288	2754	6776
289	2762	6763
290	2771	6751
291	2779	6739
292	2788	6727
293	2796	6714
294	2804	6701
295	2811	6687
296	2820	6676
297	2828	6663
298	2836	6650
299	2844	6637
300	2852	6624
301	2862	6614
302	2870	6602
303	2879	6591
304	2887	6579
305	2895	6567
306	2904	6555
307	2917	6554
308	2925	6541
309	2934	6530
310	2942	6518
311	2951	6509
312	2959	6496
313	2969	6486
314	2978	6476
315	2987	6467
316	2996	6456
317	3005	6445
318	3014	6436
319	3024	6426
320	3033	6416
321	3041	6404
322	3051	6396
323	3061	6387
324	3070	6377
325	3079	6366
326	3088	6356
327	3098	6348
328	3107	6336
329	3116	6326
330	3124	6315
331	3134	6307
332	3142	6295
333	3151	6283
334	3160	6273
335	3168	6261
336	3176	6249
337	3184	6236
338	3192	6224
339	3200	6212
340	3209	6202
341	3217	6190
342	3225	6178
343	3233	6165
344	3241	6153
345	3249	6142
346	3257	6130
347	3265	6118
348	3273	6106
349	3281	6094
350	3289	6082
351	3297	6070
352	3305	6058
353	3313	6046
354	3321	6035
355	3330	6024
356	3338	6012
357	3346	6000
358	3353	5988
359	3362	5977
360	3369	5964
361	3377	5952
362	3385	5940
363	3393	5929
364	3407	5928
365	3417	5919
366	3425	5907
367	3433	5895
368	3440	5884
369	3449	5874
370	3457	5862
371	3465	5850
372	3473	5839
373	3481	5827
374	3489	5816
375	3499	5807
376	3508	5797
377	3516	5787
378	3527	5779
379	3535	5768
380	3548	5764
381	3560	5759
382	3568	5748
383	3579	5741
384	3589	5733
385	3598	5724
386	3611	5720
387	3621	5712
388	3632	5704
389	3645	5701
390	3656	5695
391	3665	5685
392	3678	5681
393	3688	5673
394	3702	5670
395	3712	5662
396	3724	5656
397	3732	5646
398	3744	5639
399	3753	5630
400	3763	5621
401	3775	5615
402	3784	5606
403	3794	5598
404	3807	5594
405	3815	5582
406	3828	5577
407	3839	5571
408	3848	5561
409	3857	5550
410	3866	5540
411	3874	5529
412	3883	5518
413	3891	5507
414	3900	5498
415	3909	5487
416	3916	5476
417	3925	5465
418	3933	5453
419	3940	5442
420	3948	5430
421	3956	5419
422	3964	5408
423	3972	5397
424	3980	5385
425	3988	5374
426	4003	5372
427	4011	5361
428	4019	5349
429	4027	5338
430	4035	5327
431	4043	5316
432	4051	5305
433	4059	5293
434	4069	5285
435	4077	5274
436	4088	5266
437	4102	5264
438	4111	5253
439	4121	5245
440	4131	5237
441	4140	5227
442	4152	5221
443	4160	5210
444	4171	5202
445	4182	5194
446	4192	5186
447	4203	5179
448	4213	5171
449	4223	5161
450	4234	5155
451	4244	5145
452	4254	5137
453	4263	5127
454	4271	5116
455	4280	5106
456	4288	5095
457	4297	5085
458	4305	5074
459	4313	5063
460	4321	5052
461	4329	5041
462	4337	5030
463	4346	5021
464	4355	5010
465	4362	4999
466	4370	4988
467	4378	4977
468	4386	4966
469	4395	4956
470	4400	4942
471	4408	4931
472	4417	4922
473	4426	4912
474	4434	4901
475	4442	4890
476	4451	4880
477	4459	4870
478	4467	4859
479	4475	4848
480	4483	4837
481	4491	4826
482	4504	4821
483	4514	4813
484	4522	4802
485	4530	4791
486	4538	4781
487	4550	4774
488	4559	4765
489	4568	4754
490	4577	4745
491	4588	4737
492	4596	4727
493	4604	4716
494	4612	4705
495	4620	4694
496	4630	4686
497	4638	4676
498	4647	4665
499	4655	4655
500	4664	4645
501	4672	4635
502	4680	4624
503	4690	4615
504	4698	4605
505	4706	4594
506	4714	4584
507	4722	4573
508	4730	4563
509	4738	4552
510	4746	4542
511	4754	4531
512	4763	4521
513	4774	4514
514	4785	4506
515	4795	4498
516	4805	4489
517	4813	4478
518	4820	4467
519	4829	4457
520	4837	4447
521	4844	4436
522	4852	4426
523	4864	4418
524	4876	4412
525	4890	4406
526	4898	4396
527	4909	4388
528	4918	4379
529	4927	4369
530	4938	4361
531	4946	4351
532	4955	4342
533	4964	4331
534	4974	4323
535	4984	4314
536	4992	4304
537	5001	4295
538	5009	4284
539	5018	4274
540	5026	4264
541	5035	4254
542	5042	4244
543	5050	4233
544	5058	4223
545	5067	4213
546	5075	4203
547	5083	4193
548	5092	4183
549	5099	4172
550	5108	4162
551	5115	4152
552	5124	4141
553	5132	4131
554	5140	4121
555	5148	4111
556	5156	4101
557	5165	4091
558	5173	4081
559	5183	4072
560	5191	4062
561	5200	4052
562	5208	4042
563	5216	4032
564	5227	4024
565	5234	4014
566	5242	4003
567	5250	3993
568	5259	3983
569	5267	3973
570	5287	3972
571	5295	3962
572	5303	3952
573	5311	3942
574	5319	3931
575	5323	3918
576	5331	3908
577	5339	3898
578	5346	3887
579	5354	3877
580	5362	3867
581	5371	3857
582	5379	3848
583	5388	3838
584	5397	3828
585	5405	3818
586	5413	3809
587	5422	3799
588	5430	3789
589	5438	3779
590	5446	3769
591	5454	3759
592	5463	3749
593	5471	3739
594	5483	3732
595	5492	3723
596	5500	3713
597	5504	3700
598	5513	3691
599	5521	3681
600	5538	3677
601	5551	3670
602	5562	3662
603	5580	3658
604	5594	3652
605	5604	3644
606	5621	3639
607	5633	3632
608	5650	3627
609	5665	3622
610	5678	3614
611	5699	3613
612	5713	3607
613	5737	3607
614	5748	3598
615	5758	3589
616	5770	3582
617	5781	3573
618	5791	3564
619	5801	3555
620	5812	3547
621	5824	3539
622	5835	3531
623	5847	3523
624	5858	3515
625	5875	3510
626	5886	3502
627	5898	3493
628	5909	3485
629	5919	3476
630	5930	3467
631	5940	3459
632	5949	3449
633	5957	3439
634	5965	3429
635	5973	3418
636	5982	3408
637	5986	3396
638	5994	3386
639	6002	3376
640	6011	3366
641	6019	3356
642	6027	3346
643	6035	3336
644	6044	3327
645	6055	3318
646	6066	3309
647	6078	3302
648	6088	3293
649	6098	3283
650	6110	3275
651	6120	3266
652	6130	3257
